,geoid,avg_bldg_age,gentrified,311total_compl_pp,%311: water system,%311: noise,%311: plumbing,%311: illegal parking,%311: unsanitary condition,%311: sewer,%311: street light condition,%311: heating,%311: street condition,%311: blocked driveway,%311: sanitation condition,%311: paint/plaster,%311: dirty conditions,%311: request large bulky item collection,%311: heat/hot water,%housh_grandp_resp_for_grandch,avg_houshold_size,gas_leaks_pp,lonely_housholder%,lonely_housholder_over65%,mean_houshold_income,nonfamily_housholds%,not_us_citizen%,unemployed%,vacant_housing_units%,gas_leaks,gentrifiable,gentrification
0,36005000200,63.85847347166666,0.0,0.26159493145738955,0.04176157934700076,0.17615793470007593,0.02189319159706404,0.08061250316375601,0.02568969881042774,0.017970134143254872,0.05353075170842825,0.008731966590736523,0.0304986079473551,0.07997975196152872,0.025942799291318645,0.011389521640091115,0.02366489496330043,0.015439129334345734,0.034674765882055175,5.553494124922699,3.7299999999999986,0.00125798655940676,17.439703153988866,8.188002473716763,75457.16666666669,20.51948051948052,13.337968020657465,4.2175654649584535,8.952702702702704,38.0,0,3
1,36005000400,52.79089043166667,0.0,0.1916892144328408,0.04641990291262136,0.1206007281553398,0.02776092233009709,0.07949029126213593,0.02093446601941748,0.02700242718446601,0.08555825242718447,0.015776699029126214,0.04171723300970874,0.08859223300970874,0.019569174757281555,0.015018203883495148,0.015776699029126214,0.016838592233009708,0.03913834951456311,1.9704868781479188,3.0316666666666667,0.0014248742330396347,16.311743394892638,5.876115578333483,85459.33333333331,21.525139171158433,7.444240890982583,3.986739945912937,8.72651020243568,49.0,0,3
2,36005001600,56.21929825,0.0,0.14597906965315066,0.023168316831683168,0.120990099009901,0.029108910891089117,0.03306930693069307,0.03405940594059406,0.01207920792079208,0.09485148514851484,0.02811881188118812,0.04198019801980198,0.08712871287128712,0.0207920792079208,0.015247524752475247,0.013663366336633663,0.0100990099009901,0.1097029702970297,0.8265871325095868,2.815,0.002861767936636411,27.158074137196426,13.583297827013205,47136.66666666666,27.94205368555603,16.51731514135399,3.173960802451292,4.51586655817738,99.0,1,2
3,36005001900,83.26575788333334,1.0,0.6443763734922813,0.058246772158042914,0.08853509368022522,0.029608775847005143,0.06989612658965147,0.02659935928550626,0.031938646733326866,0.019512668672944367,0.020192214348121545,0.1179497136200369,0.029511697893408406,0.0279584506358606,0.02048344820891176,0.016114940297058542,0.006212989030191244,0.0747500242694884,2.4511610762993,2.425,0.0023770799449518328,37.67047548838924,1.7876889052709175,47365.33333333334,47.80685587910064,15.832603528087075,8.438633804579007,5.847648794030888,38.0,1,1
4,36005002000,75.91828638833333,0.0,0.1419959605872945,0.02982159135304076,0.2423492642271129,0.03450970178408646,0.027086860268264096,0.033337674176325036,0.01250162781612189,0.04570907670269567,0.016538611798411252,0.03463992707383773,0.09545513738768067,0.013022528975126969,0.024482354473238703,0.015627034770152363,0.010808699049355384,0.08217215783305118,4.998346743083875,2.981666666666667,0.00580632038314318,29.49961424005291,13.126859914030641,34932.0,30.34277526727653,9.354832744688329,5.5714787625510835,5.024599602219197,314.0,1,2
5,36005002500,83.60489510000002,0.0,0.2606370131959505,0.02775186567164179,0.1750233208955224,0.06658115671641791,0.008861940298507462,0.06891324626865672,0.009561567164179104,0.0006996268656716418,0.0367304104477612,0.011077425373134327,0.002332089552238805,0.006763059701492537,0.07066231343283583,0.00816231343283582,0.002798507462686567,0.13176305970149255,4.854981084489283,2.963333333333333,0.005227327984439581,28.34624392001441,11.574491082687805,32017.0,31.86813186813186,25.19450522732799,3.5314855336737168,10.417170983619783,172.0,1,2
6,36005002701,86.822580645,0.0,0.12178924800197465,0.0270392068499324,0.35646687697160884,0.02658855340243353,0.013970256872465071,0.0473186119873817,0.0067598017124831005,0.0,0.027489860297431275,0.01216764308246958,0.06579540333483551,0.0027039206849932412,0.030644434429923387,0.007210455159981973,0.0018026137899954933,0.11086074808472283,4.190594443582183,2.828333333333333,0.004774972557628979,27.797609809095146,9.064100574266645,27529.33333333333,29.0547881421698,18.04610318331504,5.729967069154776,2.761847268336856,87.0,1,2
7,36005002702,52.51669454999999,0.0,0.17543047164821726,0.023119042790509026,0.285337659703914,0.045426891097140536,0.018860271750152098,0.042587710403569255,0.008111944838775096,0.001013993104846887,0.029608598661529106,0.020279862096937745,0.023321841411478403,0.004867166903265057,0.03467856418576354,0.009734333806530115,0.004258771040356926,0.12999391604137092,3.438530381535563,3.078333333333333,0.002063469474882596,21.97362223268959,8.031088082901555,27735.16666666667,26.154027319830433,18.357762914472747,3.9170342962857534,3.8714059316278018,58.00000000000001,1,2
8,36005002800,66.60494652666667,0.0,0.22614090422385824,0.013175584834632966,0.13605808012906695,0.04826566281258403,0.031325625168055926,0.0388545307878462,0.009411132024737829,0.0684323742941651,0.06668459263242807,0.023796719548265663,0.01815004033342296,0.004167787039526754,0.040736757192793766,0.004974455498789997,0.0014788921753159452,0.14909922022048938,0.8944416838219634,2.333333333333333,0.0021890486759295856,35.16717540995244,18.15858593029034,58575.66666666666,39.17796550010648,6.524581192423459,4.800705360128911,3.4012205993279845,72.0,0,3
9,36005003100,85.03014379166667,0.0,0.3407108056878715,0.03247970018738289,0.19956277326670832,0.0434103685196752,0.03529044347282948,0.04372267332916927,0.0056214865708931906,0.007495315427857589,0.04996876951905059,0.018738288569643973,0.03529044347282948,0.012492192379762648,0.03341661461586508,0.010306058713304185,0.0009369144284821988,0.1905059337913804,0.37336652146857496,2.918333333333333,0.004469035965098957,27.442439327940264,7.560672059738643,47519.16666666666,28.81144990665837,26.01617365396893,4.128537986805704,4.3167609407561764,42.0,1,2
10,36005003300,49.77348543,0.0,0.2170294636562326,0.030877901109989912,0.14833501513622604,0.08657921291624622,0.018768920282542886,0.05105953582240162,0.0042381432896064575,0.018365287588294654,0.020383451059535814,0.017961654894046417,0.023208879919273458,0.012916246215943492,0.057719475277497476,0.011301715438950557,0.00544904137235116,0.1065590312815338,5.734107319835764,3.2366666666666664,0.0014016030835267838,23.26206994195101,9.769219878238713,29450.16666666667,26.23531077445845,14.99715299373659,6.302833866234506,5.700934579439252,32.0,1,2
11,36005003500,82.03781513,0.0,0.2479142289990515,0.025806451612903226,0.24045335658238884,0.03993025283347864,0.024237140366172624,0.042545771578029634,0.0038360941586748037,0.007672188317349607,0.08265039232781167,0.020749782040104626,0.03853530950305144,0.013949433304272014,0.03818657367044464,0.013426329555361813,0.003661726242371404,0.1032258064516129,2.334136749968286,2.9150000000000005,0.0030692084900358803,28.491690980591144,11.366231130280351,35071.166666666664,31.38399086642141,14.144296027320275,4.642718194786669,5.241014545017429,71.00000000000001,1,2
12,36005003700,88.64285714,0.0,0.4564505561675383,0.05021520803443329,0.15351506456241032,0.015781922525107604,0.02008608321377332,0.02869440459110473,0.030129124820659967,0.06599713055954089,0.014347202295552369,0.06312769010043041,0.01865136298421808,0.015781922525107604,0.035868005738880916,0.010043041606886656,0.0014347202295552368,0.035868005738880916,0.0,2.0583333333333336,0.03994760969220694,52.93333333333333,0.0,27759.16666666667,59.2,6.810740013097577,4.322200392927308,0.0,61.0,1,2
13,36005003800,60.20074148833334,0.0,0.21976215179709435,0.019573978123200917,0.3028209556706966,0.025331030512377662,0.04605641911341393,0.031088082901554407,0.002302820955670697,0.042026482440990214,0.008635578583765112,0.027058146229130685,0.07426597582037997,0.026482440990213008,0.012665515256188831,0.027058146229130685,0.008635578583765112,0.03626943005181347,7.616602481814293,3.378333333333334,0.0043016194331983795,21.18100128369705,5.733846812152332,63189.66666666666,21.951219512195124,8.084514170040485,6.376518218623482,10.767468499427263,33.99999999999999,1,2
14,36005003900,85.26384662333334,0.0,0.2437796667983095,0.02633242047609017,0.14588160943753953,0.06519907309879926,0.020012639561828527,0.04908363176743207,0.0076890667790183295,0.0014746155466610494,0.040446597851274496,0.019275331788498003,0.02843901411417738,0.014851485148514853,0.05466610490836319,0.02117126606277649,0.005055824731409312,0.11080682536338744,2.4642765465902285,3.3100000000000005,0.0012581846193349595,30.640883032429194,13.562077522033027,44952.33333333334,36.39086164113973,29.05636153549878,4.542303248170497,13.416802489257668,49.0,1,2
